"CO2" "Incid" "CA" "CA3" "Port.Port.1" "Port.Port.2" "Port.Port.3" "Port.Port.4" "Port.Port.5" "Port.Port.6" "Port.Port.7" "Port.Port.8" "Port.Port.9" "Port.Port.10" "Port.Port.11" "Port.Port.12" "Port.Port.13" "Port.Port.14" "Port.Port.15" "Port.Port.16" "Port.Port.17" "Port.Port.18" "Port.Port.19" "Port.Port.20" "Port.Port.21" "Port.Port.22" "Port.Port.23" "Port.Port.24" "Port.Port.25" "Port.Port.26" "Port.Port.27" "Port.Port.28" "Port.Port.29" "Port.Port.30" "Port.Port.31" "Port.Port.32" "Port.Port.33" "Port.Port.34" "Port.Port.35" "Port.Port.36" "Port.Port.37" "Port.Port.38" "Port.Port.39" "Port.Port.40" "Port.Port.41" "Port.Port.42" "Port.Port.43" "Port.Port.44" "Port.Port.45" "Port.Port.46" "Port.Port.47" "Port.Port.48" "Port.Port.49" "Port.Port.50" "Port.Port.51" "Port.Port.52" "Port.Port.53" "Port.Port.54" "Port.Port.55" "Port.Port.56" "Port.Port.57" "Port.Port.58" "Port.Port.59" "Port.Port.60"
"11" 5.75 16 0 1 23.6 3.06 10.41 5.5 12.24 6.12 17.76 17.38 15.03 15.57 6.39 4.89 3.07 11.98 27.11 5.28 19.81 4.36 30.96 5.9 23.18 10.35 6.32 2.28 10.08 20.25 7.57 22.76 0.5 13.35 2.63 9.12 28.51 19.02 17.01 4.32 15.49 11.63 1.63 6.11 1.56 7.94 9.29 3.63 1.88 3.41 18.55 13.44 5.27 9.08 14.08 6.59 7.27 16.74 8.49 16.87 18.96 10.57 14.86 18.05
"12" 10.55 87 1 2 24.32 1.6 12.33 5.27 14.06 4.94 13.57 20.38 18.01 21.78 5.18 8.61 6.42 17.73 31.1 9.14 20.72 0.53 28.29 8.39 26.31 13.63 3.68 7.18 11 24.09 8.24 25.74 2.43 16.3 2.28 12.56 25.78 21.43 13.01 1.9 13.24 12.5 4.83 11.27 5.73 7.45 4.15 3.26 9.53 1.6 9.88 3.1 4.22 6.38 14.66 11.03 12.86 16.99 10.18 15.84 19.92 17.97 11.44 17.4
"13" 7.02 13 0 0 20.01 2.86 10.25 2.91 11.51 4.47 15.91 15.54 17.63 19.36 4.07 7.6 4 12.47 31.56 8.2 15.32 1.29 26.61 8 18.48 11.47 3.41 1.11 9.32 20.79 4.93 21.05 1.22 10.73 2.62 8.36 24.87 17.04 12.79 8.36 11.79 5.4 3.2 4.61 4.13 8.95 0.53 7.22 9.47 0.11 8.25 5.68 6.91 4.8 15.52 9.5 5.49 19.6 9.74 10.71 17.95 15.72 10.75 12.23
"14" 7.32 26 0 1 20.94 3.46 10.14 2.15 9.95 7.29 15.21 15.75 17.9 13.89 0.3 3.31 2.78 15.14 28.03 5.82 17.71 0.92 28.84 8.4 22.29 14.6 3.34 4.14 8.64 24.99 7.26 26.26 5.67 10.88 2.15 9.89 21.92 16.06 13.89 4.84 10.97 8.93 7.49 4.75 7.2 8.43 3.67 0.2 16.4 4.62 7.26 1.41 3.55 9.77 11.92 8.93 9.54 17.65 8.36 15.71 14.8 12.81 13.38 16.65
"15" 8.5 18 0 1 27.43 3.12 13.9 8 11.75 3.97 13.46 19.84 15.35 20.71 9.64 9.74 0.39 18.17 31.65 5.87 19.12 4.3 28.11 9.16 19.67 12.37 1.41 1.69 9.52 23.61 4.84 20.88 1.58 12 4.17 10.58 25.46 16.53 10.61 8.08 11.06 8.79 2.55 6.82 4.05 8.59 6.01 2.13 7.54 0.42 11.97 6.23 5.71 7.33 12.23 2.75 6.43 18.69 9.89 14.25 13.1 13.46 13.45 17.74
"16" 5.01 31 1 2 22.51 1.97 9.08 2.38 9.73 3.12 16.67 15.85 18.4 18.01 5.71 6.67 2.83 14.44 28.57 4.53 16.57 0.79 29.11 6.37 17.79 7.99 0.93 3.09 9.57 21.55 5.03 22.41 8.9 9.12 1.43 7.35 17.79 11.7 12.5 0.01 10.95 4.45 7.67 6.86 6.04 6.29 5.99 0.61 13.8 2.08 8.82 1.78 3.95 8.2 11.07 5.95 6.42 19.1 10.71 10.83 17.9 16.78 13.83 19.72
"17" 7.51 13 0 1 23.54 1.18 13.02 2.49 8.35 0.82 11.54 16.74 15.67 17.63 0.78 6.94 1.45 17.15 28.41 4.91 17.22 0.64 26.51 6.19 16.88 10.21 2.54 0.34 5.62 20.6 6.06 22.53 4.34 7.88 0.93 5.92 25.79 15.38 12.22 7.21 13.36 7.74 5.13 4.2 3.81 12.72 5.11 2.39 11.35 7.53 9.12 0.93 5.73 7.76 18.51 8.38 8.14 19.1 11.95 16.97 22.06 17.92 11.06 19.33
"18" 6.59 5 0 0 23.9 1.1 12.58 4.73 10.55 4.73 13.19 20.11 18.52 20.99 6.45 6.05 3.97 16.62 30.98 6.6 19.68 1.34 27.7 10.19 20.08 11.57 1.74 0.78 9.56 21.69 4.02 17.48 0.34 10.83 4.11 8.1 25.03 12.55 7.08 6.57 12.4 7.99 3.33 3.69 4.33 6.51 6.29 4.91 9.79 0.57 12.51 4.67 5.01 4.49 13.55 2.55 3.34 19.3 12.63 10.62 20.8 17.09 12.64 22.88
"19" 7.78 40 1 2 26.35 2.83 10.08 2.41 12.24 7.48 14.3 19.17 17.15 18.37 4.44 6.94 1.4 18.78 28.02 5.36 15.53 0.61 29.6 6.32 16.67 9.56 2.16 2.72 3.62 24.57 5.59 26.73 5.74 9.92 3.27 8.77 29.87 14.48 10.43 5.34 12.16 11.69 4.05 1.56 4.28 4.47 11.39 3.19 9.01 5.04 15.7 0.59 2.14 7.33 17.22 4.65 4.59 21.1 13.12 13.82 21.37 19.55 13.62 21.33
"20" 5.04 4 0 0 21.81 0.43 9.69 0.83 6.67 1.3 13.55 16.11 17.29 20.26 5.01 9.08 0.69 17.23 28.57 3 14.76 0.3 26.76 6.73 22.96 13.35 2.51 1.39 2.59 22.68 5.21 21.39 1.71 9.89 0.08 8.55 23 15.79 12.44 9.31 14.45 9.7 3.11 5.88 6.14 7.26 4.83 1.16 15.28 4.65 8.75 0.85 0.78 9.1 12.04 7.7 12.67 16.73 7.63 16.63 15.98 11.22 14.58 16.28
"21" 5.96 33 1 2 21.43 2.16 9.6 0.98 9.92 0.91 13.83 17.64 18.46 18.1 5.63 3.94 4.6 14.44 27.97 3.91 20.78 1.98 28.71 4.4 22.18 8.86 5.25 5.58 4.94 25.27 8.25 28.65 7.29 9.8 2.13 11.85 19.99 19.88 16.35 6.84 14.52 11.18 8.79 9.05 4.22 6.62 8.49 0.04 13 6.28 8.67 3.37 1.26 13.03 11.25 7.67 11.4 16.27 8.5 13.76 15.56 11.73 11.18 17.21
"22" 8 27 0 0 26.27 1.2 15.14 9.67 12 2.52 14.35 17.9 15.72 23.86 7.98 11.43 4.61 19.12 31.67 7.72 20.28 4.82 27.42 9.28 18.97 13.61 5.1 2.76 9.53 24.63 6.88 27.97 4.41 10.15 1.51 9.86 24.11 17 14.19 6.43 11.51 7.66 9.37 2.78 4.15 9.53 2.26 0.57 9.09 0.39 7.58 2.82 4.74 7.16 11.85 7.83 10.73 15.96 8.45 16.92 17.54 11.52 13.84 19.98
"23" 7.06 12 0 1 19.67 2.93 7.8 3.28 9.25 2.37 14.18 17.23 16.57 18.23 0.67 3.49 3.98 12.64 27.53 5.07 13.64 3.64 26.01 4.28 17.31 12.54 2.66 0.7 8.4 18.36 4.17 21.64 4.21 9.84 5.08 7.51 16.78 18.26 14.68 12.52 12.9 5.04 11 8.76 6.05 6.81 2.76 0.75 12.74 0.9 10.38 0.53 0.2 8.4 10.53 6.4 12.14 18.29 10.12 12.19 15.42 15.71 11.52 19.16
"24" 6.71 5 0 0 23.06 2.59 9.61 1.53 9.83 2.77 15.32 16 17.37 19.84 5.3 5.94 2.28 15.06 28.84 5.1 14.09 1.69 26.95 7.09 21.07 8.19 4.39 3.97 10.08 23.82 5.13 20.11 3.05 12.97 2.92 8.96 24.22 15.11 9.2 1.15 13.18 11.52 6.4 8.19 4.97 3.45 6.44 3.35 8.38 2.23 11.12 3.18 0.34 7.42 15.63 8.41 5.99 16.15 9.22 16.95 23.87 11.93 14.6 20.34
"25" 7.67 34 1 2 24.02 0.72 12.12 4.57 12.73 5.08 16.05 15.49 18.49 16.75 4.13 5.5 4.05 15.68 29.21 10.38 17.67 3.12 28.99 7.7 23.83 13.45 5.62 3 8.39 22.91 7.01 22.24 1.83 7.28 1.81 6.3 17.59 17.05 10.59 6.68 10.74 9.2 2.47 8.63 5.07 9.86 5.07 1.79 13 2.75 5.79 2.46 2.03 8.06 11.33 4.92 6.61 17.78 10.16 13.05 15.24 14.43 13.22 19.76
"26" 7.4 53 1 1 21.7 1.38 11.66 3.26 10.75 1.71 16.01 17.21 15.35 20.83 4.46 6.73 3.2 12.68 29.32 5.99 13.19 0.34 26.36 5.62 18.74 7.71 0.78 3.94 7.9 22.53 6.83 23.06 7.7 11.05 0.95 7.3 25.91 15.81 14.09 4.48 14.85 9.37 5.36 3.48 4.24 10.2 5.13 2.53 12.29 2.7 7.48 5.07 4.69 9.51 15.77 3.06 10.37 18.61 13.58 14.7 19.98 20.91 11.87 22.92
"27" 9.74 63 1 2 22.43 2.36 12.1 5.47 15.52 7.28 14.5 19.05 17.95 19.44 4.03 6.59 2.28 16.56 30.48 7.84 17.91 0.92 26.9 8.72 19.37 9.43 5.71 2.46 10.14 20.76 4.48 19.18 5.64 12.6 0.63 6.15 19.42 16.42 13.5 3.7 11.32 9.33 5.56 9.28 5.11 5.86 7.15 4.8 12.1 2.79 9.28 0.02 4.85 3.26 17.03 10.07 7.45 19.65 12.96 12.48 23.72 21.71 10.66 19.47
"28" 8.23 69 1 2 24.27 2.56 13.95 7.26 12.74 5 17.12 17.38 14.09 20.88 5.42 5.46 3.04 12.21 29.87 5.56 18.91 3.94 28.46 6.24 26.18 12.3 6.37 5.84 10.23 25.73 8.39 25.66 3.5 11.94 7.62 9.7 26.8 16.04 16.14 3.31 15.32 14.63 0.74 0.45 4.27 13.76 3.18 2.59 11.92 9.58 10.55 0.39 4.28 8.58 13.88 3.48 5.41 18.61 12.4 12.98 16.01 15.97 8.85 21.28
"29" 9.52 48 1 2 28.38 3.1 12.43 5.8 13.41 8.04 14.44 21.81 16.62 18.82 7.82 8.4 0.71 17.86 29.69 7.25 18.27 0.47 31.28 7.69 14.47 8.1 7.76 0.6 12.7 19.89 4.89 22.47 5.74 14.37 0.2 9.01 22.14 18.35 19.26 7.7 14.24 7.7 6.05 12.83 4.13 9.96 7.12 2.21 10.66 4.06 11.33 1.08 0.91 10.37 12.33 7.23 10.04 18.38 11.96 8.58 18.53 18.65 8.46 19.25
"30" 7.58 15 0 0 24.98 0.18 13.36 7.52 11.46 0.28 12.68 20.02 17.96 22.54 11.41 13.46 5.15 18.21 33.65 8.74 20.17 3.3 27.46 9.53 17.79 12.98 1.96 0.22 9.02 27.02 3.9 24.37 2.75 15.23 3.72 11.58 29.09 14.25 9.4 2.3 9.79 6.01 9.1 5.03 6.17 9.79 1.19 3.83 13.79 1.43 5.87 1.82 4.27 3.46 16.74 5.31 4.3 19.16 12.68 14.3 22.75 20.1 14.2 20.84
"31" 8.5 27 0 1 27.33 4.78 15.29 4.69 14.38 6.86 16.92 19.83 14.52 22.33 5.52 6.81 1.59 18.26 28.69 8.63 15.27 2.37 29.77 4 16.52 12.32 2.45 0.49 3.93 24.02 4.56 26.66 3.82 7.75 2.06 11.12 25.94 17.92 13.83 9.14 12.71 6.93 7.82 2.22 3.17 8.61 4.25 2.51 8 3.55 9.82 1.88 3.98 6.87 15.26 5.42 4.66 18.2 12.01 16.01 22.06 16.08 13.24 24.02
"32" 9.47 85 1 2 24.2 0.15 13.85 6.41 14.1 1.82 13.96 19.72 12.55 23.95 4.71 8.19 2.13 12.97 30.67 4.66 15.79 0.25 24.98 5.96 23.78 11.67 6.11 4.63 9.99 24.89 7.03 24.64 3.86 14.49 0 11.88 19.43 18.12 14.83 3.7 11.47 7.83 8.46 9.88 5.8 6.84 5.74 3.32 16.62 5.86 7.68 1.54 1.6 8.47 17.74 5.8 8.5 19.1 11.98 17.23 21.09 18.64 13.1 19.81
"33" 7.12 17 0 1 25.35 2.26 12.65 5.44 11.86 1.92 14.28 20.09 21.36 22.72 9.28 4.31 8.53 16.43 32.11 7.97 21.7 0.94 27.71 10.66 21.33 9.9 3.14 2.88 9.56 21.34 6.8 23.89 2.81 11.71 0.01 8.52 25.44 14.89 14.17 1.44 13.37 7.96 5.41 5.59 5.98 11.37 2.76 0.26 17.79 6.13 5.71 1.08 0.61 11.66 8.06 6.31 7.91 16.22 8.24 11.92 13.42 9.39 12.09 20.35
"34" 8.29 42 1 2 24.92 3.56 12.57 2.57 13.16 0.67 13.28 16.1 17.75 22.18 2.95 6.15 6.62 16.87 29.02 6.17 16.37 3.59 25.83 6.18 22.09 13 3.05 5.49 9.24 25.21 6.42 26.18 5.21 18.17 5.01 12.75 22.43 16.36 17.41 13.37 15.94 14.22 5.79 5.38 3.18 6.5 11.68 2.3 9.45 5.23 14.41 1.4 1.09 12.88 11.75 6.08 12.46 17.6 9.26 10.01 15.54 14.96 10.96 13.93
"35" 7.25 15 0 1 26.27 2.25 10.93 1.27 11.91 5.53 14.66 18.87 14.85 20.89 3.16 5.35 1.8 15.42 27.59 6.06 16.28 0.59 29.12 4.12 19.46 14.56 4.55 0.4 8.49 21.98 4.8 20.28 1.17 10.67 0.24 6.69 20.5 18.71 14.8 15.98 14.14 8.74 5.38 8.66 3.1 10.73 8.16 1.93 9.5 3.06 10.31 6.49 4.25 10.8 13.05 7.64 9.89 17.78 9.62 14.48 17.41 15.43 13.04 16.68
"36" 8.97 87 1 2 22.24 1.97 10.94 2.63 11.77 1.31 12.63 17.88 16.34 21.63 2.28 7.85 5.98 13.35 30.99 5.22 16.26 0.81 24.98 7.84 20.19 10.49 5.64 4.72 9.53 22.94 9.17 27.57 8.34 12.91 0.42 7.42 23.86 18.84 19.84 4.76 15.3 12.74 8.23 9.08 3.29 10.04 7.68 0.92 6.45 2.72 13.75 7.7 6.29 12.02 15.57 0.08 6.9 18.38 12.84 17.56 18.57 16.79 13.59 25.67
"37" 8.83 152 1 2 26.01 1.75 14.28 3.45 13.2 4.76 12.62 17.57 15.15 19.17 1.58 3.71 0.06 16.77 28.2 4.3 18.27 2.6 27.77 4.83 25.06 12.26 0.13 7.01 12.85 22.44 8.18 20.5 1.66 10.04 1.45 10.98 22.05 18.49 10.39 7.3 12.57 9.87 7.4 6.46 5.02 7.98 7.48 0.97 12.25 3.43 9.23 3.01 3.36 10.3 12.99 9.58 6.84 20.85 12.2 8.29 18.33 20.26 9.06 17.58
